id,title,imdb_id,transcript_found,transcript_source_file
17037,I'll Be Home for Christmas,tt0155753,False,
17979,A Christmas Carol,tt1067106,False,
18085,Roving Mars,tt0436595,False,
18126,Hannah Montana: The Movie,tt1114677,False,
18269,Lady and the Tramp II: Scamp's Adventure,tt0249677,False,
18357,The Country Bears,tt0276033,False,
18736,The Lizzie McGuire Movie,tt0306841,False,
19186,The Parent Trap,tt0055277,False,
19585,G-Force,tt0436339,False,
19766,Inspector Gadget 2,tt0301454,False,
20277,The Ugly Dachshund,tt0061135,False,
20526,TRON: Legacy,tt1104001,False,
20735,That Darn Cat,tt0120317,False,
20737,Air Bud,tt0118570,False,
20760,Lilo & Stitch 2: Stitch has a Glitch,tt0457993,False,
21385,"Mickey, Donald, Goofy: The Three Musketeers",tt0371823,False,
21970,The Watcher in the Woods,tt0081738,False,
22559,Aliens of the Deep,tt0417415,False,
22949,Old Dogs,tt0976238,False,
23438,Wild Hearts Can't Be Broken,tt0103262,False,
24034,Teacher's Pet,tt0350194,False,
24480,Partly Cloudy,tt1425244,False,
24589,Dug's Special Mission,tt1537759,False,
24767,Iron Will,tt0110157,False,
24793,A Knight in Camelot,tt0176892,False,
24795,Angels in the Outfield,tt0109127,False,
24808,Something Wicked This Way Comes,tt0086336,False,
24982,Ghosts of the Abyss,tt0297144,False,
25059,Homeward Bound II: Lost in San Francisco,tt0116552,False,
25441,Never a Dull Moment,tt0063341,False,
25445,The Happiest Millionaire,tt0061749,False,
25475,Tinker Bell and the Lost Treasure,tt1216516,False,
25831,The Prince and the Pauper,tt0100409,False,
26264,George of the Jungle 2,tt0322389,False,
26441,The Big Green,tt0112499,False,
26809,Prep & Landing,tt1474311,False,
27022,The Sorcerer's Apprentice,tt0963966,False,
27281,Operation Dumbo Drop,tt0114048,False,
27621,The Cheetah Girls: One World,tt1013542,False,
29228,The Computer Wore Tennis Shoes,tt0065566,False,
33914,Frankenweenie,tt0087291,True,Frankenweenie
34549,Max Keeble's Big Move,tt0273799,False,
34723,The Adventures of Huck Finn,tt0106223,False,
35114,Destino,tt0377770,False,
36797,RocketMan,tt0120029,False,
37108,A Kid in King Arthur's Court,tt0113538,False,
37135,Tarzan,tt0120855,False,
37933,Tales from Earthsea,tt0495596,False,
37969,The Incredible Journey,tt0057180,False,
38580,The Little Matchgirl,tt0816562,False,
38757,Tangled,tt0398286,False,
39486,Secretariat,tt1028576,False,
40454,"Follow Me, Boys!",tt0060420,False,
40490,Man of the House,tt0113755,False,
40619,Day & Night,tt1620446,False,
40688,Meet the Deedles,tt0120645,False,
41841,Tall Tale,tt0111359,False,
42981,Frank and Ollie,tt0113104,False,
43643,White Fang 2: Myth of the White Wolf,tt0111701,False,
44683,Tinker Bell and the Great Fairy Rescue,tt1216515,False,
45325,Tom and Huck,tt0112302,False,
45665,Plane Crazy,tt0019278,False,
49013,Cars 2,tt1216475,False,
49529,John Carter,tt0401729,False,
49948,Fantasia 2000,tt0120910,False,
50321,Mars Needs Moms,tt1305591,False,
51162,Winnie the Pooh,tt1449283,False,
51588,Prom,tt1604171,False,
53565,Steamboat Willie,tt0019422,False,
54540,Beverly Hills Chihuahua 2,tt1482393,False,
56067,The Biscuit Eater,tt0068276,False,
57201,The Lone Ranger,tt1210819,False,
62177,Brave,tt1217209,False,
62211,Monsters University,tt1453405,False,
64328,The Muppets,tt1204342,False,
65158,Squanto: A Warrior's Tale,tt0111271,False,
66878,Home Made Home,tt0043649,False,
67145,No Smoking,tt0043862,False,
67166,Runaway Brain,tt0114308,False,
67790,Ye Olden Days,tt0024792,False,
68728,Oz: The Great and Powerful,tt1623205,False,
71689,Phineas and Ferb the Movie: Across the 2nd Dimension,tt1825918,False,
71805,Shipwrecked,tt0099816,False,
71864,The Odd Life of Timothy Green,tt1462769,False,
72962,George & A.J.,tt1552624,False,
73478,The Prince and the Pauper,tt0056373,False,
75258,Secret of the Wings,tt1217213,False,
76346,The Ballad of Nessie,tt1827536,False,
77022,The Haunted House,tt0019968,False,
77606,Right on Track,tt0323810,False,
77887,Hawaiian Vacation,tt1850374,False,
81338,Mickey's Good Deed,tt0023215,False,
82424,Small Fry,tt2033372,False,
82690,Wreck-It Ralph,tt1772341,False,
82881,Tangled Ever After,tt2112281,False,
83564,La luna,tt1957945,False,
88018,The Skeleton Dance,tt0020414,False,
92208,Mom's Got a Date With a Vampire,tt0250593,False,
101806,The Mad Doctor,tt0024285,False,
102651,Maleficent,tt1587310,False,
105325,How to Hook Up Your Home Theater,tt1114718,False,
105864,The Good Dinosaur,tt1979388,False,
105965,Beverly Hills Chihuahua 3 - Viva La Fiesta!,tt2224075,False,
106112,Flowers and Trees,tt0022899,False,
109445,Frozen,tt2294629,False,
127380,Finding Dory,tt2277860,False,
130925,Partysaurus Rex,tt2340678,False,
134360,Mickey's Orphans,tt0022147,False,
140420,Paperman,tt2388725,False,
140823,Saving Mr. Banks,tt2140373,True,Saving Mr. Banks
141423,The Legend of Mor'du,tt2565938,False,
145316,Air Mater,tt2100093,False,
150540,Inside Out,tt2096673,False,
150689,Cinderella,tt1661199,False,
151960,Planes,tt1691917,False,
158852,Tomorrowland,tt1964418,False,
161833,Mickey's Gala Premier,tt0024329,False,
161836,Building a Building,tt0023854,False,
166426,Pirates of the Caribbean: Dead Men Tell No Tales,tt1790809,False,
177572,Big Hero 6,tt2245084,False,
197725,John Henry,tt0219105,False,
198185,Million Dollar Arm,tt1647668,False,
200481,The Blue Umbrella,tt2616880,False,
213121,Toy Story of Terror!,tt2446040,False,
218778,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",tt1698641,False,
218836,Planes: Fire & Rescue,tt2980706,False,
224141,Into the Woods,tt2180411,True,Into the Woods
228203,"McFarland, USA",tt2097298,False,
234567,Get a Horse!,tt2980764,False,
241259,Alice Through the Looking Glass,tt2567026,False,
245003,Lorenzo,tt0412936,False,
253353,Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,tt1127884,False,
256835,Toy Story That Time Forgot,tt3473654,False,
260514,Cars 3,tt3606752,False,
267935,The BFG,tt3691740,False,
269149,Zootopia,tt2948356,False,
277834,Moana,tt3521164,False,
278927,The Jungle Book,tt3040964,False,
283995,Guardians of the Galaxy Vol. 2,tt3896198,False,
284052,Doctor Strange,tt1211837,False,
286192,Lava,tt3824386,False,
291157,Khoobsurat,tt3554418,False,
293299,Feast,tt3689498,False,
294272,Pete's Dragon,tt2788732,False,
297270,Tinker Bell and the Legend of the NeverBeast,tt3120408,False,
300673,The Finest Hours,tt2025690,False,
317557,Queen of Katwe,tt4341582,False,
321612,Beauty and the Beast,tt2771200,False,
326359,Frozen Fever,tt4007502,False,
330459,Rogue One: A Star Wars Story,tt3748528,False,
345637,Sanjay's Super Team,tt4661600,False,
352812,Tick Tock Tale,tt1736313,False,
355338,Riley's First Date?,tt4941804,False,
360814,Dangal,tt5074352,False,
399106,Piper,tt5613056,False,
406785,Inner Workings,tt5807512,False,
433471,Lou,tt6267732,False,
